カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1JsuQ2fpw3gAi1D8W6qwqw6ZFxlR5Z9vd,,
BT14-027,Marinedevimon_BT14_027,2948,,,,,,
BT14-028,Tonosamagekomon_BT14_028,2949,,,,,,
BT14-029,Puresiomon_BT14_029,2950,,,,,,
BT14-030,Marineangemon_BT14_030,2951,,,,,,
BT14-031,Elekimon_BT14_031,2952,,,,,,
BT14-032,Chumon_BT14_032,2953,,,,,,
BT14-033,Patamon_BT14_033,2954,,,,,,
BT14-033_P1,Patamon_BT14_033,2955,,,,,,
BT14-034,Sukamon_BT14_034,2956,,,,,,
BT14-035,Yunimon_BT14_035,2957,,,,,,
BT14-036,Kentarumon_BT14_036,2958,,,,,,
BT14-037,HolyangemonAce_BT14_037,2959,,,,,,
BT14-037_P1,HolyangemonAce_BT14_037,2960,,,,,,
BT14-038,Etemon_BT14_038,2961,,,,,,
BT14-039,Monzaemon_BT14_039,2962,,,,,,
BT14-040,Jijimon_BT14_040,2963,,,,,,
BT14-041,Serafimon_BT14_041,2964,,,,,,
BT14-042,Kunemon_BT14_042,2965,,,,,,
BT14-043,Kodokugumon_BT14_043,2966,,,,,,
BT14-044,Parumon_BT14_044,2967,,,,,,
BT14-044_P1,Parumon_BT14_044,2968,,,,,,
BT14-045,Tiranomon_BT1_016,2969,,,,,,
BT14-046,Togemon_BT14_046,2970,,,,,,
BT14-047,Dokugumon_BT14_047,2971,,,,,,
BT14-048,Leomon_BT14_048,2972,,,,,,
BT14-049,Lilimon_BT14_049,2973,,,,,,
BT14-049_P1,Lilimon_BT14_049,2974,,,,,,
BT14-050,Pikkoromon_BT14_050,2975,,,,,,
BT14-051,Ookuwamon_BT14_051,2976,,,,,,
BT14-052,Panjamon_BT14_052,2977,,,,,,
BT14-053,Rosemon_BT14_053,2978,,,,,,
BT14-054,Savelleomon_BT14_054,2979,,,,,,
BT14-055,Megadramon_ST5_11,2980,,,,,,
BT14-056,Comandramon_BT14_056,2981,,,,,,
BT14-056_P1,Comandramon_BT14_056,2982,,,,,,
BT14-057,Chuchumon_BT14_057,2983,,,,,,
BT14-058,Numemon_BT14_058,2984,,,,,,
BT14-059,Damemon_BT14_059,2985,,,,,,
BT14-060,Highcommandramon_BT14_060,2986,,,,,,
BT14-061,Vegemon_BT14_061,2987,,,,,,
BT14-062,Nanomon_BT14_062,2988,,,,,,
BT14-063,Blackkingnumemon_BT14_063,2989,,,,,,
BT14-064,Kagodramon_BT14_064,2990,,,,,,
BT14-065,Bedamon_BT14_065,2991,,,,,,
BT14-066,Platinamunumemon_BT14_066,2992,,,,,,
BT14-067,Evamon_BT14_067,2993,,,,,,
BT14-068,Bregadramon_BT14_068,2994,,,,,,
BT14-068_P1,Bregadramon_BT14_068,2995,,,,,,
BT14-069,Gomamon_BT1_030,2996,,,,,,
BT14-070,Gobrimon_BT14_070,2997,,,,,,
BT14-071,Rugamon_BT14_071,2998,,,,,,
BT14-071_P1,Rugamon_BT14_071,2999,,,,,,
BT14-072,Fungmon_BT14_072,3000,,,,,,
BT14-073,Ogamon_BT14_073,3001,,,,,,
BT14-074,Rugarumon_BT14_074,3002,,,,,,
BT14-075,Devimon_BT14_075,3003,,,,,,
BT14-076,SkullGraymon_BT14_076,3004,,,,,,
BT14-077,SkullSatamon_BT14_077,3005,,,,,,
BT14-078,Helgarumon_BT14_078,3006,,,,,,
BT14-079,Solgarumon_BT14_079,3007,,,,,,
BT14-080,Deathmon_BT14_080,3008,,,,,,
BT14-081,Fenrirugamon_BT14_081,3009,,,,,,
BT14-081_P1,Fenrirugamon_BT14_081,3010,,,,,,
BT14-082,YagamiTaichi_BT14_082,3011,,,,,,
BT14-082_P1,YagamiTaichi_BT14_082,3012,,,,,,
BT14-083,KidoJou_BT14_083,3013,,,,,,
BT14-083_P1,KidoJou_BT14_083,3014,,,,,,
BT14-084,TakaishiTakeru_BT14_084,3015,,,,,,
BT14-084_P1,TakaishiTakeru_BT14_084,3016,,,,,,
BT14-085,TachikawaMimi_BT14_085,3017,,,,,,
BT14-085_P1,TachikawaMimi_BT14_085,3018,,,,,,
BT14-086,TamahimeSatsuki_BT14_086,3019,,,,,,
BT14-086_P1,TamahimeSatsuki_BT14_086,3020,,,,,,
BT14-087,NagasumiEiji_BT14_087,3021,,,,,,
BT14-087_P1,NagasumiEiji_BT14_087,3022,,,,,,
BT14-088,Gennai_BT14_088,3023,,,,,,
BT14-089,MegaFlame_BT14_089,3024,,,,,,
BT14-090,BravelyBattleDragon_BT14_090,3025,,,,,,
BT14-091,IntegrityPulse_BT14_091,3026,,,,,,
BT14-092,MarchingFishes_BT14_092,3027,,,,,,
BT14-093,EmissaryOfHope_BT14_093,3028,,,,,,
BT14-094,HeavensKnuckle_BT14_094,3029,,,,,,
BT14-095,PoisonIvy_BT14_095,3030,,,,,,
BT14-096,BloomOfPurity_BT14_096,3031,,,,,,
BT14-097,CurseOfSuka_BT14_097,3032,,,,,,
BT14-098,DCDBomb_BT14_098,3033,,,,,,
BT14-099,DarkWingMoushitsu_BT14_099,3034,,,,,,
BT14-100,Haouken_BT14_100,3035,,,,,,
BT14-101,Wargreymon_BT14_101,3036,,,,,,
BT14-101_P1,Wargreymon_BT14_101,3037,,,,,,
BT14-102,Angemon_BT14_102,3038,,,,,,
BT14-102_P1,Angemon_BT14_102,3039,,,,,,
