カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1vatiaGdUSGP-uCYg6xabFzYXfcMM8ILg
BT1-064_P1,,228,,,
BT1-064_P2,,229,,,
BT1-065,,230,,,
BT1-066,Tentomon_BT1_066,231,,,
BT1-066_P1,Tentomon_BT1_066,232,,,
BT1-066_P2,Tentomon_BT1_066,233,,,
BT1-067,Parumon_BT1_067,234,,,
BT1-067_P1,Parumon_BT1_067,235,,,
BT1-068,Kokuwamon_BT1_068,236,,,
BT1-069,Tiranomon_BT1_016,237,,,
BT1-070,Kuwagamon_BT1_070,238,,,
BT1-071,,239,,,
BT1-072,Coredramon_ST1_06,240,,,
BT1-072_P1,Coredramon_ST1_06,241,,,
BT1-073,Kabuterimon_BT1_073,242,,,
BT1-073_P1,Kabuterimon_BT1_073,243,,,
BT1-074,Togemon_BT1_074,244,,,
BT1-074_P1,Togemon_BT1_074,245,,,
BT1-075,Metalgreymon_BT1_021,246,,,
BT1-076,Atlerkabuterimon_BT1_076,247,,,
BT1-076_P1,Atlerkabuterimon_BT1_076,248,,,
BT1-076_P2,Atlerkabuterimon_BT1_076,249,,,
BT1-077,Ookuwamon_BT1_077,250,,,
BT1-077_P1,Ookuwamon_BT1_077,251,,,
BT1-077_P2,Ookuwamon_BT1_077,252,,,
BT1-078,Jagamon_BT1_078,253,,,
BT1-078_P1,Jagamon_BT1_078,254,,,
BT1-079,Lilymon_BT1_079,255,,,
BT1-079_P1,Lilymon_BT1_079,256,,,
BT1-080,,257,,,
BT1-081,Herakurukabuterimon_BT1_081,258,,,
BT1-082,Rosemon_BT1_082,259,,,
BT1-082_P1,Rosemon_BT1_082,260,,,
BT1-083,Grankuwagamon_Rosemon_BT1_083,261,,,
BT1-083_P1,Grankuwagamon_Rosemon_BT1_083,262,,,
BT1-084,Omegamon_BT1_084,263,,,
BT1-084_P1,Omegamon_BT1_084,264,,,
BT1-084_P2,Omegamon_BT1_084,265,,,
BT1-084_P3,Omegamon_BT1_084,266,,,
BT1-084_P4,Omegamon_BT1_084,267,,,
BT1-084_P5,Omegamon_BT1_084,268,,,
BT1-085,YagamiTaichi_BT1_085,269,,,
BT1-085_P1,YagamiTaichi_BT1_085,270,,,
BT1-085_P2,YagamiTaichi_BT1_085,271,,,
BT1-086,IshidaYamato_BT1_086,272,,,
BT1-086_P1,IshidaYamato_BT1_086,273,,,
BT1-087,TakaishiTakeru_BT1_087,274,,,
BT1-087_P1,TakaishiTakeru_BT1_087,275,,,
BT1-087_P2,TakaishiTakeru_BT1_087,276,,,
BT1-088,IzumiKoushirou_BT1_088,277,,,
BT1-088_P1,IzumiKoushirou_BT1_088,278,,,
BT1-088_P2,IzumiKoushirou_BT1_088,279,,,
BT1-089,TachikawaMimi_BT1_089,280,,,
BT1-089_P1,TachikawaMimi_BT1_089,281,,,
BT1-089_P2,TachikawaMimi_BT1_089,282,,,
BT1-090,GravityPress_BT1_090,283,,,
BT1-091,ScraplessClaw_BT1_091,284,,,
BT1-092,NuclearLaser_BT1_092,285,,,
BT1-093,BraveTornado_BT1_093,286,,,
BT1-094,OblivionBird_BT1_094,287,,,
BT1-095,BraveShield_BT1_095,288,,,
BT1-095_P1,BraveShield_BT1_095,289,,,
BT1-096,HellFire_BT1_096,290,,,
BT1-097,BallinStrom_BT1_097,291,,,
BT1-098,VBreathArrow_BT1_098,292,,,
BT1-099,LovelyAttack_BT1_099,293,,,
BT1-100,GlaceCrossFreezer_BT1_100,294,,,
BT1-101,NailCrusher_BT1_101,295,,,
BT1-101_P1,NailCrusher_BT1_101,296,,,
BT1-102,HolyEspada_BT1_102,297,,,
BT1-103,Testament_BT1_103,298,,,
BT1-104,HeavensRipper_BT1_104,299,,,
BT1-105,BlustFire_BT1_105,300,,,
BT1-106,Polifony_BT1_106,301,,,
BT1-107,ConversionPulse_BT1_107,302,,,
BT1-107_P1,ConversionPulse_BT1_107,303,,,
BT1-107_P2,ConversionPulse_BT1_107,304,,,
BT1-108,HoneBuster_BT1_108,305,,,
BT1-108_P1,HoneBuster_BT1_108,306,,,
BT1-108_P2,HoneBuster_BT1_108,307,,,
BT1-109,SmashPotato_BT1_109,308,,,
BT1-110,FlowerCunon_BT1_110,309,,,
BT1-110_P1,FlowerCunon_BT1_110,310,,,
BT1-110_P2,FlowerCunon_BT1_110,311,,,
BT1-110_P3,FlowerCunon_BT1_110,312,,,
BT1-111,GigaBluster_BT1_111,313,,,
BT1-112,DimensionSissor_BT1_112,314,,,
BT1-113,ForbiddenTemtation_BT1_113,315,,,
BT1-114,Metalgreymon_BT1_114,316,,,
BT1-114_P1,Metalgreymon_BT1_114,317,,,
BT1-115,Vdramon_BT1_115,318,,,
BT1-115_P1,Vdramon_BT1_115,319,,,
