カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,14mJ8RsECpZ1gVkIHmAbffj-9Kj3_5QSZ
BT4-028,Ikkakumon_BT2_025,801,,,
BT4-029,,802,,,
BT4-030,Beowolfmon_BT4_030,803,,,
BT4-030_P1,Beowolfmon_BT4_030,804,,,
BT4-031,Marinekimeramon_BT4_031,805,,,
BT4-032,Mahhagaogamon_BT4_032,806,,,
BT4-033,Zeedgarurumon_BT4_033,807,,,
BT4-033_P1,Zeedgarurumon_BT4_033,808,,,
BT4-034,Regarekusumon_BT4_034,809,,,
BT4-035,Miragegaogamon_BT4_035,810,,,
BT4-035_P1,Miragegaogamon_BT4_035,811,,,
BT4-036,,812,,,
BT4-037,Kudamon_BT4_037,813,,,
BT4-038,Bushiagumon_BT4_038,814,,,
BT4-038_P1,Bushiagumon_BT4_038,815,,,
BT4-039,Graumon_BT4_039,816,,,
BT4-040,,817,,,
BT4-041,Meikumon_BT4_041,818,,,
BT4-042,Coredramon_ST1_06,819,,,
BT4-042_P1,Coredramon_ST1_06,820,,,
BT4-043,,821,,,
BT4-044,Hipogrifomon_BT4_044,822,,,
BT4-045,Meikurakkumon_BT4_045,823,,,
BT4-046,Megarograumon_BT4_046,824,,,
BT4-047,Rajierumon_BT4_047,825,,,
BT4-048,Wargreymon_BT4_048,826,,,
BT4-048_P1,Wargreymon_BT4_048,827,,,
BT4-048_P2,Wargreymon_BT4_048,828,,,
BT4-049,Valodurumon_BT4_049,829,,,
BT4-050,,830,,,
BT4-051,Dokunemon_BT4_051,831,,,
BT4-052,Agumon_BT4_008,832,,,
BT4-053,,833,,,
BT4-054,Sunflowmon_BT4_054,834,,,
BT4-055,Leomon_BT4_055,835,,,
BT4-056,,836,,,
BT4-057,Grapleomon_BT4_057,837,,,
BT4-058,Orochimon_BT4_058,838,,,
BT4-059,Rairamon_BT4_059,839,,,
BT4-059_P1,Rairamon_BT4_059,840,,,
BT4-060,Lotosmon_BT4_060,841,,,
BT4-061,Bancholeomon_BT4_061,842,,,
BT4-062,Nieshegmon_BT4_062,843,,,
BT4-062_P1,Nieshegmon_BT4_062,844,,,
BT4-063,Commandramon_BT4_063,845,,,
BT4-063_P1,Commandramon_BT4_063,846,,,
BT4-064,Agumon_BT4_008,847,,,
BT4-065,,848,,,
BT4-066,Goremon_BT4_066,849,,,
BT4-067,Coredramon_ST1_06,850,,,
BT4-067_P1,Coredramon_ST1_06,851,,,
BT4-068,Babungamon_BT4_068,852,,,
BT4-069,,853,,,
BT4-070,Insekimon_BT4_070,854,,,
BT4-071,Tankdramon_BT4_071,855,,,
BT4-072,Gogumamon_BT4_072,856,,,
BT4-072_P1,Gogumamon_BT4_072,857,,,
BT4-073,Banchogoremon_BT4_073,858,,,
BT4-074,Darkdramon_BT4_074,859,,,
BT4-074_P1,Darkdramon_BT4_074,860,,,
BT4-075,Blustmon_BT4_075,861,,,
BT4-075_P1,Blustmon_BT4_075,862,,,
BT4-076,,863,,,
BT4-077,Agumon_BT4_008,864,,,
BT4-078,Soundbirdmon_BT4_078,865,,,
BT4-078_P1,Soundbirdmon_BT4_078,866,,,
BT4-079,Labramon_BT4_079,867,,,
BT4-080,,868,,,
BT4-081,Devimon_BT4_081,869,,,
BT4-082,,870,,,
BT4-083,Kelberomon_BT4_083,871,,,
BT4-084,Neodevimon_BT4_084,872,,,
BT4-084_P1,Neodevimon_BT4_084,873,,,
BT4-084_P2,Neodevimon_BT4_084,874,,,
BT4-084_P3,Neodevimon_BT4_084,875,,,
BT4-085,,876,,,
BT4-086,KelberomonWerewolfMode_BT4_086,877,,,
BT4-087,Anubimon_BT4_087,878,,,
BT4-087_P1,Anubimon_BT4_087,879,,,
BT4-088,Dandebimon_BT4_088,880,,,
BT4-088_P1,Dandebimon_BT4_088,881,,,
BT4-088_P2,Dandebimon_BT4_088,882,,,
BT4-088_P3,Dandebimon_BT4_088,883,,,
BT4-089,Plutemon_BT4_089,884,,,
BT4-090,Chaosmon_BT4_090,885,,,
BT4-090_P1,Chaosmon_BT4_090,886,,,
BT4-090_P2,Chaosmon_BT4_090,887,,,
BT4-090_P3,Chaosmon_BT4_090,888,,,
BT4-090_P4,Chaosmon_BT4_090,889,,,
BT4-091,ChaosmonValodruArm_BT4_091,890,,,
BT4-091_P1,ChaosmonValodruArm_BT4_091,891,,,
BT4-092,DaimonMasaru_BT4_092,892,,,
BT4-092_P1,DaimonMasaru_BT4_092,893,,,
BT4-093,TomaHNorshtain_BT4_093,894,,,
BT4-093_P1,TomaHNorshtain_BT4_093,895,,,
BT4-094,YagamiTaichi_BT4_094,896,,,
BT4-094_P1,YagamiTaichi_BT4_094,897,,,
BT4-095,FujiedaYoshino_BT4_095,898,,,
BT4-095_P1,FujiedaYoshino_BT4_095,899,,,
BT4-096,IzumiKoushirou_BT4_096,900,,,
BT4-096_P1,IzumiKoushirou_BT4_096,901,,,
BT4-096_P2,IzumiKoushirou_BT4_096,902,,,
BT4-097,YagamiHikari_BT4_097,903,,,
BT4-097_P1,YagamiHikari_BT4_097,904,,,
BT4-098,Blufmastra_BT4_098,905,,,
BT4-099,DragonPowerHeir_BT4_099,906,,,
BT4-099_P1,DragonPowerHeir_BT4_099,907,,,
BT4-100,TridentRevolver_BT4_100,908,,,
BT4-101,DragThemAllToTheBottom_BT4_101,909,,,
BT4-102,AquaViper_BT4_102,910,,,
BT4-103,FullmoonBluster_BT4_103,911,,,
BT4-104,Zekkoushou_BT4_104,912,,,
BT4-105,TacticalRetreat_BT4_105,913,,,
BT4-105_P1,TacticalRetreat_BT4_105,914,,,
BT4-106,PurgeShine_BT4_106,915,,,
BT4-107,UnDoPoran_BT4_107,916,,,
BT4-108,WhirlwindTurbineKick_BT4_108,917,,,
BT4-109,FinalsBagoonPunch_BT4_109,918,,,
BT4-110,DarkRoar_BT4_110,919,,,
BT4-111,JackRaid_BT4_111,920,,,
BT4-112,HellsGate_BT4_112,921,,,
BT4-113,Ancientgreymon_BT4_113,922,,,
BT4-113_P1,Ancientgreymon_BT4_113,923,,,
BT4-114,Ancientgarurumon_BT4_114,924,,,
BT4-114_P1,Ancientgarurumon_BT4_114,925,,,
BT4-115,Luchemon_BT4_115,926,,,
BT4-115_P1,Luchemon_BT4_115,927,,,
