カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1cAFkvyfUpzY_G4nQE3b2nkLslPeEMtsC
EX1-034_P1,Parumon_EX1_034,1321,,,
EX1-035,Kabuterimon_EX1_035,1322,,,
EX1-036,Togemon_EX1_036,1323,,,
EX1-037,Kuwagamon_EX1_037,1324,,,
EX1-037_P1,Kuwagamon_EX1_037,1325,,,
EX1-038,Stingmon_EX1_038,1326,,,
EX1-039,Lilimon_EX1_039,1327,,,
EX1-039_P1,Lilimon_EX1_039,1328,,,
EX1-039_P2,Lilimon_EX1_039,1329,,,
EX1-040,Atolerkabuterimon_EX1_040,1330,,,
EX1-040_P1,Atolerkabuterimon_EX1_040,1331,,,
EX1-041,Dinobeemon_EX1_041,1332,,,
EX1-042,Rosemon_EX1_042,1333,,,
EX1-043,Herakurukabuterimon_EX1_043,1334,,,
EX1-043_P1,Herakurukabuterimon_EX1_043,1335,,,
EX1-044,Keramon_EX1_044,1336,,,
EX1-045,Hagurumon_EX1_045,1337,,,
EX1-046,Kurisarimon_EX1_046,1338,,,
EX1-047,Girdromon_EX1_047,1339,,,
EX1-048,Andromon_EX1_048,1340,,,
EX1-048_P1,Andromon_EX1_048,1341,,,
EX1-048_P2,Andromon_EX1_048,1342,,,
EX1-048_P3,Andromon_EX1_048,1343,,,
EX1-049,Metaltiranomon_EX1_049,1344,,,
EX1-049_P1,Metaltiranomon_EX1_049,1345,,,
EX1-050,Metalmamemon_EX1_050,1346,,,
EX1-050_P1,Metalmamemon_EX1_050,1347,,,
EX1-050_P2,Metalmamemon_EX1_050,1348,,,
EX1-051,Infermon_EX1_051,1349,,,
EX1-052,Etemon_EX1_052,1350,,,
EX1-053,Metaletemon_EX1_053,1351,,,
EX1-054,Boltmon_EX1_054,1352,,,
EX1-055,Bakumon_EX1_055,1353,,,
EX1-056,Pikodevimon_EX1_056,1354,,,
EX1-057,Wizzarmon_EX1_057,1355,,,
EX1-058,Devimon_EX1_058,1356,,,
EX1-059,Ogamon_EX1_059,1357,,,
EX1-059_P1,Ogamon_EX1_059,1358,,,
EX1-060,Ladydevimon_EX1_060,1359,,,
EX1-061,Vandemon_EX1_061,1360,,,
EX1-062,Skullgreymon_EX1_062,1361,,,
EX1-063,Venomvandemon_EX1_063,1362,,,
EX1-063_P1,Venomvandemon_EX1_063,1363,,,
EX1-064,Piemon_EX1_064,1364,,,
EX1-065,Diaboromon_EX1_065,1365,,,
EX1-065_P1,Diaboromon_EX1_065,1366,,,
EX1-066,AnalogBoy_EX1_066,1367,,,
EX1-066_P1,AnalogBoy_EX1_066,1368,,,
EX1-067,FireBaptism_EX1_067,1369,,,
EX1-068,IceWall_EX1_068,1370,,,
EX1-069,UltimateConnection_EX1_069,1371,,,
EX1-070,BattleForPride_EX1_070,1372,,,
EX1-071,WinRate60Percent_EX1_071,1373,,,
EX1-071_P1,WinRate60Percent_EX1_071,1374,,,
EX1-072,ProgramEmergencyStop_EX1_072,1375,,,
EX1-073,Mugendramon_EX1_073,1376,,,
EX1-073_P1,Mugendramon_EX1_073,1377,,,
EX1-073_P2,Mugendramon_EX1_073,1378,,,
