カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1xMQv2IWb4lYT6khNLTSnCZjFtzTQQTFF,,
EX4-052,DrNiseagumon_EX4_052,2608,,,,,,
EX4-053,Falcomon_EX4_053,2609,,,,,,
EX4-053_P1,Falcomon_EX4_053,2610,,,,,,
EX4-054,Wendymon_EX4_054,2611,,,,,,
EX4-055,Peckmon_EX4_055,2612,,,,,,
EX4-056,Yatagaramon_EX4_056,2613,,,,,,
EX4-057,Antiramon_EX4_057,2614,,,,,,
EX4-058,Ravemon_EX4_058,2615,,,,,,
EX4-058_P1,Ravemon_EX4_058,2616,,,,,,
EX4-059,Kervimon_EX4_059,2617,,,,,,
EX4-060,OmegamoAlterS_EX4_060,2618,,,,,,
EX4-060_P1,OmegamoAlterS_EX4_060,2619,,,,,,
EX4-060_P2,OmegamoAlterS_EX4_060,2620,,,,,,
EX4-061,IshidaYamatoAndYagamiTaichi_EX4_061,2621,,,,,,
EX4-061_P1,IshidaYamatoAndYagamiTaichi_EX4_061,2622,,,,,,
EX4-062,AonumaKirihaAndAmanoNene_EX4_062,2623,,,,,,
EX4-062_P1,AonumaKirihaAndAmanoNene_EX4_062,2624,,,,,,
EX4-063,LeeJenryaAndLeeSiuchon_EX4_063,2625,,,,,,
EX4-063_P1,LeeJenryaAndLeeSiuchon_EX4_063,2626,,,,,,
EX4-064,Ikuto_EX4_064,2627,,,,,,
EX4-064_P1,Ikuto_EX4_064,2628,,,,,,
EX4-065,TridentGaia_EX4_065,2629,,,,,,
EX4-066,GoldBeastSwordAndRedDragonBullet_EX4_066,2630,,,,,,
EX4-066_P1,GoldBeastSwordAndRedDragonBullet_EX4_066,2631,,,,,,
EX4-067,FullmetalBlaze_EX4_067,2632,,,,,,
EX4-068,HeavensJudgement_EX4_068,2633,,,,,,
EX4-069,GaiaReactor_EX4_069,2634,,,,,,
EX4-070,DirtyHero_EX4_070,2635,,,,,,
EX4-071,AmeNoOhabari_EX4_071,2636,,,,,,
EX4-072,DigitalTranslater_EX4_072,2637,,,,,,
EX4-072_P1,DigitalTranslater_EX4_072,2638,,,,,,
EX4-073,OmegamonAlterB_EX4_073,2639,,,,,,
EX4-073_P1,OmegamonAlterB_EX4_073,2640,,,,,,
EX4-074,ShinegreymonRuinMode_EX4_074,2641,,,,,,
EX4-074_P1,ShinegreymonRuinMode_EX4_074,2642,,,,,,
