カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1BJ-4MAidGwOf6dWoioZRSXh5B9OriWhK
BT3-033,Holyangemon_ST3_08,641,,,
BT3-034,Ropmon_BT3_034,642,,,
BT3-035,Holyangemon_ST3_08,643,,,
BT3-035_P1,Holyangemon_ST3_08,644,,,
BT3-036,Greymon_BT3_011,645,,,
BT3-036_P1,Greymon_BT3_011,646,,,
BT3-037,,647,,,
BT3-038,,648,,,
BT3-038_P1,,649,,,
BT3-039,Angewomon_BT3_039,650,,,
BT3-039_P1,Angewomon_BT3_039,651,,,
BT3-040,Shakkoumon_BT3_040,652,,,
BT3-041,Kelvimon_BT3_041,653,,,
BT3-042,Clavisangemon_BT3_042,654,,,
BT3-043,Slapemon_BT3_043,655,,,
BT3-043_P1,Slapemon_BT3_043,656,,,
BT3-044,,657,,,
BT3-045,,658,,,
BT3-046,Teriamon_BT3_046,659,,,
BT3-046_P1,Teriamon_BT3_046,660,,,
BT3-047,Wormmon_BT3_047,661,,,
BT3-047_P1,Wormmon_BT3_047,662,,,
BT3-048,Kabuterimon_BT1_073,663,,,
BT3-048_P1,Kabuterimon_BT1_073,664,,,
BT3-049,Greymon_BT3_011,665,,,
BT3-049_P1,Greymon_BT3_011,666,,,
BT3-050,Stingmon_BT3_050,667,,,
BT3-050_P1,Stingmon_BT3_050,668,,,
BT3-050_P2,Stingmon_BT3_050,669,,,
BT3-051,Dokugumon_BT3_051,670,,,
BT3-052,Kabuterimon_BT1_073,671,,,
BT3-053,,672,,,
BT3-054,Blossemon_BT3_054,673,,,
BT3-054_P1,Blossemon_BT3_054,674,,,
BT3-055,Dinobiemon_BT3_055,675,,,
BT3-056,Keresmon_BT3_056,676,,,
BT3-056_P1,Keresmon_BT3_056,677,,,
BT3-057,Centgargomon_BT3_057,678,,,
BT3-057_P1,Centgargomon_BT3_057,679,,,
BT3-057_P2,Centgargomon_BT3_057,680,,,
BT3-058,Banchostingmon_BT3_058,681,,,
BT3-059,,682,,,
BT3-059_P1,,683,,,
BT3-060,,684,,,
BT3-061,Teriamon_BT3_046,685,,,
BT3-061_P1,Teriamon_BT3_046,686,,,
BT3-062,Zubamon_BT3_008,687,,,
BT3-063,Sukamon_BT3_063,688,,,
BT3-064,Tialdmon_BT3_064,689,,,
BT3-065,Greymon_BT3_011,690,,,
BT3-065_P1,Greymon_BT3_011,691,,,
BT3-066,Clockmon_BT3_066,692,,,
BT3-067,,693,,,
BT3-067_P1,,694,,,
BT3-068,Clockmon_BT3_066,695,,,
BT3-069,Tialdmon_BT3_064,696,,,
BT3-070,Etemon_BT3_070,697,,,
BT3-071,Metalmamemon_BT3_071,698,,,
BT3-072,Megadramon_ST5_11,699,,,
BT3-073,Kuresgarurumon_BT3_073,700,,,
BT3-073_P1,Kuresgarurumon_BT3_073,701,,,
BT3-074,Metaletemon_BT3_074,702,,,
BT3-075,Kureniamumon_BT3_075,703,,,
BT3-075_P1,Kureniamumon_BT3_075,704,,,
BT3-075_P2,Kureniamumon_BT3_075,705,,,
BT3-076,,706,,,
BT3-076_P1,,707,,,
BT3-077,Teriamon_BT3_046,708,,,
BT3-077_P1,Teriamon_BT3_046,709,,,
BT3-078,,710,,,
BT3-079,Gomamon_BT1_030,711,,,
BT3-080,Saverdramon_BT3_080,712,,,
BT3-081,Gomamon_BT1_030,713,,,
BT3-082,Greymon_BT3_011,714,,,
BT3-082_P1,Greymon_BT3_011,715,,,
BT3-083,,716,,,
BT3-084,Raremon_BT3_084,717,,,
BT3-085,,718,,,
BT3-086,Alchenimon_BT3_086,719,,,
BT3-087,Mummymon_BT3_087,720,,,
BT3-088,Ladydevimon_BT3_088,721,,,
BT3-088_P1,Ladydevimon_BT3_088,722,,,
BT3-089,,723,,,
BT3-090,Mastymon_BT3_090,724,,,
BT3-090_P1,Mastymon_BT3_090,725,,,
BT3-091,Lilithmon_BT3_091,726,,,
BT3-091_P1,Lilithmon_BT3_091,727,,,
BT3-091_P2,Lilithmon_BT3_091,728,,,
BT3-091_P3,Lilithmon_BT3_091,729,,,
BT3-091_P4,Lilithmon_BT3_091,730,,,
BT3-092,Verialvandemon_BT3_092,731,,,
BT3-093,MotomiyaDaisuke_BT3_093,732,,,
BT3-093_P1,MotomiyaDaisuke_BT3_093,733,,,
BT3-094,IchijoujiKen_BT3_094,734,,,
BT3-094_P1,IchijoujiKen_BT3_094,735,,,
BT3-095,KidoJou_BT3_095,736,,,
BT3-096,TachikawaMimi_BT3_096,737,,,
BT3-097,MeticulousTactics_BT3_097,738,,,
BT3-098,PlasmaSteak_BT3_098,739,,,
BT3-099,StopTheWar_BT3_099,740,,,
BT3-100,DesperadeBluster_BT3_100,741,,,
BT3-101,Bifflost_BT3_101,742,,,
BT3-102,Clucker_BT3_102,743,,,
BT3-103,ExpressionOfHiddenPower_BT3_103,744,,,
BT3-103_P1,ExpressionOfHiddenPower_BT3_103,745,,,
BT3-104,PositronLaser_BT3_104,746,,,
BT3-105,GodBreath_BT3_105,747,,,
BT3-106,JuurouDaiKaiten_BT3_106,748,,,
BT3-107,ThoseWereGoodTimes_BT3_107,749,,,
BT3-108,DarkDespair_BT3_108,750,,,
BT3-109,ItIsReturnMatch_BT3_109,751,,,
BT3-110,Necrofobia_BT3_110,752,,,
BT3-111,ImperialdramonDragonMode_BT3_111,753,,,
BT3-111_P1,ImperialdramonDragonMode_BT3_111,754,,,
BT3-111_P2,ImperialdramonDragonMode_BT3_111,755,,,
BT3-112,OmegamonAlterS_BT3_112,756,,,
BT3-112_P1,OmegamonAlterS_BT3_112,757,,,
BT3-112_P2,OmegamonAlterS_BT3_112,758,,,
