カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1Ox_lxPUVsQvwPslgqvph17Ai3QlHeek5
BT5-087_P1,OmegamonZuwalt_BT5_087,1061,,,
BT5-087_P2,OmegamonZuwalt_BT5_087,1062,,,
BT5-088,TakenouchiSoraAndKidoJo_BT5_088,1063,,,
BT5-088_P1,TakenouchiSoraAndKidoJo_BT5_088,1064,,,
BT5-089,IzumiKoushirouAndTachilkawaMimi_BT5_089,1065,,,
BT5-089_P1,IzumiKoushirouAndTachilkawaMimi_BT5_089,1066,,,
BT5-090,SanadaArata_BT5_090,1067,,,
BT5-090_P1,SanadaArata_BT5_090,1068,,,
BT5-091,AibaTakumi_BT5_091,1069,,,
BT5-091_P1,AibaTakumi_BT5_091,1070,,,
BT5-092,ShiromineNokia_BT5_092,1071,,,
BT5-092_P1,ShiromineNokia_BT5_092,1072,,,
BT5-093,YagamiTaichiAndIshidaYamato_BT5_093,1073,,,
BT5-093_P1,YagamiTaichiAndIshidaYamato_BT5_093,1074,,,
BT5-094,RoudyLocker_BT5_094,1075,,,
BT5-095,GreySword_BT5_095,1076,,,
BT5-096,GaruruCanon_BT5_096,1077,,,
BT5-097,AbsoluteBlust_BT5_097,1078,,,
BT5-098,MeteoScall_BT5_098,1079,,,
BT5-099,SpriralMascarade_BT5_099,1080,,,
BT5-100,RoyalNuts_BT5_100,1081,,,
BT5-101,CantYouFly_BT5_101,1082,,,
BT5-102,Wisren_BT5_102,1083,,,
BT5-103,HotIntenseMetalStrom_BT5_103,1084,,,
BT5-104,CatastrophieCanon_BT5_104,1085,,,
BT5-105,UltimateFlare_BT5_105,1086,,,
BT5-106,DemonsDisaster_BT5_106,1087,,,
BT5-107,ComingBackFromTheDarkness_BT5_107,1088,,,
BT5-108,IchiNoTachi_BT5_108,1089,,,
BT5-109,FusionToUltimateDigimon_BT5_109,1090,,,
BT5-109_P1,FusionToUltimateDigimon_BT5_109,1091,,,
BT5-110,AllDelete_BT5_110,1092,,,
BT5-111,OmegamonXAntiBody_BT5_111,1093,,,
BT5-111_P1,OmegamonXAntiBody_BT5_111,1094,,,
BT5-112,OmegamonZuwaltDefeat_BT5_112,1095,,,
BT5-112_P1,OmegamonZuwaltDefeat_BT5_112,1096,,,
