カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1P8FkiGDy6OS7oEv5UtaX6AuPZO4uz85p
EX2-022_P1,Antiramon_EX2_022,1952,,,
EX2-023,Taomon_EX2_023,1953,,,
EX2-023_P1,Taomon_EX2_023,1954,,,
EX2-024,Sakuyamon_EX2_024,1955,,,
EX2-024_P1,Sakuyamon_EX2_024,1956,,,
EX2-025,Teriamon_EX2_025,1957,,,
EX2-025_P1,Teriamon_EX2_025,1958,,,
EX2-025_P2,Teriamon_EX2_025,1959,,,
EX2-026,Gargomon_EX2_026,1960,,,
EX2-027,Rapidmon_EX2_027,1961,,,
EX2-027_P1,Rapidmon_EX2_027,1962,,,
EX2-028,Parasaimon_EX2_028,1963,,,
EX2-029,Centgargomon_EX2_029,1964,,,
EX2-029_P1,Centgargomon_EX2_029,1965,,,
EX2-030,Monodramon_EX2_030,1966,,,
EX2-031,Girdromon_EX2_031,1967,,,
EX2-031_P1,Girdromon_EX2_031,1968,,,
EX2-032,Strikedramon_EX2_032,1969,,,
EX2-033,Rokomon_EX2_033,1970,,,
EX2-034,Andromon_EX2_034,1971,,,
EX2-035,Cyberdramon_EX2_035,1972,,,
EX2-035_P1,Cyberdramon_EX2_035,1973,,,
EX2-036,Grandrokomon_EX2_036,1974,,,
EX2-037,Gokumon_EX2_037,1975,,,
EX2-038,JustimonBlitzArm_EX2_038,1976,,,
EX2-038_P1,JustimonBlitzArm_EX2_038,1977,,,
EX2-039,Inpumon_EX2_039,1978,,,
EX2-039_P1,Inpumon_EX2_039,1979,,,
EX2-039_P2,Inpumon_EX2_039,1980,,,
EX2-040,Devidramon_EX2_040,1981,,,
EX2-041,Dobelmon_EX2_041,1982,,,
EX2-041_P1,Dobelmon_EX2_041,1983,,,
EX2-042,Mefismon_EX2_042,1984,,,
EX2-043,Gulfmon_EX2_043,1985,,,
EX2-043_P1,Gulfmon_EX2_043,1986,,,
EX2-044,Belzebmon_EX2_044,1987,,,
EX2-044_P1,Belzebmon_EX2_044,1988,,,
EX2-045,Kurumon_EX2_045,1989,,,
EX2-045_P1,Kurumon_EX2_045,1990,,,
EX2-045_P2,Kurumon_EX2_045,1991,,,
EX2-046,ADR02Searcher_EX2_046,1992,50,,
EX2-047,ADR03PenduramFeet_EX2_047,1993,,,
EX2-048,ADR04Bubbles_EX2_048,1994,,,
EX2-049,ADR01Juli_EX2_049,1995,,,
EX2-050,ADR05CreepHands_EX2_050,1996,,,
EX2-051,ADR07ParadiseHead_EX2_051,1997,,,
EX2-052,ADR06HoneStriker_EX2_052,1998,,,
EX2-053,ADR08Optimizer_EX2_053,1999,,,
EX2-054,ADR09GateKeeper_EX2_054,2000,,,
EX2-055,Leeper_EX2_055,2001,,,
EX2-056,MatsudaTakato_EX2_056,2002,,,
EX2-056_P1,MatsudaTakato_EX2_056,2003,,,
EX2-057,KitagawaKenta_EX2_057,2004,,,
EX2-058,KatouJuri_EX2_058,2005,,,
EX2-058_P1,KatouJuri_EX2_058,2006,,,
EX2-059,RiCiuChon_EX2_059,2007,,,
EX2-060,MakinoRuki_EX2_060,2008,,,
EX2-060_P1,MakinoRuki_EX2_060,2009,,,
EX2-061,RiJenRya_EX2_061,2010,,,
EX2-061_P1,RiJenRya_EX2_061,2011,,,
EX2-062,AkiyamaRyou_EX2_062,2012,,,
EX2-062_P1,AkiyamaRyou_EX2_062,2013,,,
EX2-063,ShiodaHirokazu_EX2_063,2014,,,
EX2-064,ArisMakkoi_EX2_064,2015,,,
EX2-065,AiAndMakoto_EX2_065,2016,,,
EX2-065_P1,AiAndMakoto_EX2_065,2017,,,
EX2-066,AttackPlugInA_EX2_066,2018,,,
EX2-067,FireBall_EX2_067,2019,,,
EX2-068,SpeedPlugInD_EX2_068,2020,,,
EX2-069,Juuouken_EX2_069,2021,,,
EX2-070,SuperDigivolutionPlugIn_EX2_070,2022,,,
EX2-071,DeathSlinger_EX2_071,2023,,,
EX2-071_P1,DeathSlinger_EX2_071,2024,,,
EX2-072,BlueCard_EX2_072,2025,,,
EX2-073,DukemonCrimsonMode_EX2_073,2026,,,
EX2-073_P1,DukemonCrimsonMode_EX2_073,2027,,,
EX2-073_P2,DukemonCrimsonMode_EX2_073,2028,,,
EX2-074,BelzebmonBlastMode_EX2_074,2029,,,
EX2-074_P1,BelzebmonBlastMode_EX2_074,2030,,,
