カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1hbYqKKzY0dGloL14DUYaTYQl6yjAwhzY
BT8-033_P1,Almagimon_BT8_033,1599,,,
BT8-034,,1600,,,
BT8-035,Candmon_BT8_035,1601,,,
BT8-036,Ankiromon_BT8_036,1602,,,
BT8-037,Holyangemon_ST3_08,1603,,,
BT8-038,Magnamon_BT8_038,1604,,,
BT8-038_P1,Magnamon_BT8_038,1605,,,
BT8-039,Rapidmon_BT8_039,1606,,,
BT8-039_P1,Rapidmon_BT8_039,1607,,,
BT8-040,Betsumon_BT8_040,1608,,,
BT8-041,,1609,,,
BT8-042,Shakkoumon_BT8_042,1610,,,
BT8-042_P1,Shakkoumon_BT8_042,1611,,,
BT8-042_P2,Shakkoumon_BT8_042,1612,,,
BT8-042_P3,Shakkoumon_BT8_042,1613,,,
BT8-043,Kervimon_BT8_043,1614,,,
BT8-044,Chinronmon_BT8_044,1615,,,
BT8-045,,1616,,,
BT8-046,Teriamon_BT8_046,1617,,,
BT8-047,Pulsemon_BT8_047,1618,,,
BT8-048,Shurimon_BT8_048,1619,,,
BT8-049,Namakemon_BT8_049,1620,,,
BT8-050,Ekisamon_BT8_050,1621,,,
BT8-051,Digmon_BT8_051,1622,,,
BT8-051_P1,Digmon_BT8_051,1623,,,
BT8-052,,1624,,,
BT8-053,Ridramon_BT8_053,1625,,,
BT8-053_P1,Ridramon_BT8_053,1626,,,
BT8-053_P2,Ridramon_BT8_053,1627,,,
BT8-053_P3,Ridramon_BT8_053,1628,,,
BT8-054,Pistomon_BT8_054,1629,,,
BT8-055,Crymon_BT8_055,1630,,,
BT8-056,,1631,,,
BT8-057,Sivamon_BT8_057,1632,,,
BT8-057_P1,Sivamon_BT8_057,1633,,,
BT8-058,Agumon_BT8_058,1634,,,
BT8-058_P1,Agumon_BT8_058,1635,,,
BT8-059,Kokuwamon_BT8_059,1636,,,
BT8-060,Ryuudamon_BT8_060,1637,,,
BT8-060_P1,Ryuudamon_BT8_060,1638,,,
BT8-061,Thunderballmon_BT8_061,1639,,,
BT8-062,SkullknightmonRidingMode_BT8_062,1640,,,
BT8-063,Ginryumon_BT8_063,1641,,,
BT8-064,Greymon_BT8_064,1642,,,
BT8-064_P1,Greymon_BT8_064,1643,,,
BT8-065,Catchmamemon_BT8_065,1644,,,
BT8-066,Hisharyuumon_BT8_066,1645,,,
BT8-067,Metalgreymon_BT8_067,1646,,,
BT8-067_P1,Metalgreymon_BT8_067,1647,,,
BT8-068,Banchomamemon_BT8_068,1648,,,
BT8-069,Ouryuumon_BT8_069,1649,,,
BT8-069_P1,Ouryuumon_BT8_069,1650,,,
BT8-070,Blackwargreymon_BT8_070,1651,,,
BT8-070_P1,Blackwargreymon_BT8_070,1652,,,
BT8-071,Saikemon_BT8_071,1653,,,
BT8-072,Pikodevimon_BT8_072,1654,,,
BT8-073,,1655,,,
BT8-074,Soulmon_BT8_074,1656,,,
BT8-075,Saverdramon_BT3_080,1657,,,
BT8-076,Zanbamon_BT5_080,1658,,,
BT8-077,Blacktailmon_BT8_077,1659,,,
BT8-078,,1660,,,
BT8-079,Skullsatamon_BT8_079,1661,,,
BT8-079_P1,Skullsatamon_BT8_079,1662,,,
BT8-080,Vandemon_BT8_080,1663,,,
BT8-081,RasenmonRageMode_BT8_081,1664,,,
BT8-082,OfanimonFalldownMode_BT8_082,1665,,,
BT8-082_P1,OfanimonFalldownMode_BT8_082,1666,,,
BT8-083,Berialvandemon_BT8_083,1667,,,
BT8-083_P1,Berialvandemon_BT8_083,1668,,,
BT8-084,Kimeramon_BT8_084,1669,,,
BT8-084_P1,Kimeramon_BT8_084,1670,,,
BT8-085,InoueMiyako_BT8_085,1671,,,
BT8-085_P1,InoueMiyako_BT8_085,1672,,,
BT8-086,AmanokawaHiro_BT8_086,1673,,,
BT8-086_P1,AmanokawaHiro_BT8_086,1674,,,
BT8-087,TalaishiTakeru_BT8_087,1675,,,
BT8-087_P1,TalaishiTakeru_BT8_087,1676,,,
BT8-088,MotomiyaDaisukeAndIchijoujiKen_BT8_088,1677,,,
BT8-088_P1,MotomiyaDaisukeAndIchijoujiKen_BT8_088,1678,,,
BT8-089,HidaIori_BT8_089,1679,,,
BT8-089_P1,HidaIori_BT8_089,1680,,,
BT8-090,YagamiHikari_BT8_090,1681,,,
BT8-090_P1,YagamiHikari_BT8_090,1682,,,
BT8-091,Worres_BT8_091,1683,,,
BT8-091_P1,Worres_BT8_091,1684,,,
BT8-092,MushaYuji_BT8_092,1685,,,
BT8-093,OikawaYukio_BT8_093,1686,,,
BT8-094,DigimonKizer_BT8_094,1687,,,
BT8-095,FireRocket_BT8_095,1688,,,
BT8-096,TopGun_BT8_096,1689,,,
BT8-097,Kouen_BT8_097,1690,,,
BT8-098,InnocenceBlizzard_BT8_098,1691,,,
BT8-099,GigaDeath_BT8_099,1692,,,
BT8-100,Aramitama_BT8_100,1693,,,
BT8-101,PlasmaShoot_BT8_101,1694,,,
BT8-102,SamadiShanty_BT8_102,1695,,,
BT8-103,LightningBlade_BT8_103,1696,,,
BT8-104,EiseiRyuuoujin_BT8_104,1697,,,
BT8-105,DarknessGaiaForce_BT8_105,1698,,,
BT8-106,SenbonDokkan_BT8_106,1699,,,
BT8-107,PandemoniumFlame_BT8_107,1700,,,
BT8-108,MistMemoryBoost_BT8_108,1701,,,
BT8-109,FlameHellCyse_BT8_109,1702,,,
BT8-110,ArmorTexture_BT8_110,1703,,,
BT8-111,Demon_BT8_111,1704,,,
BT8-111_P1,Demon_BT8_111,1705,,,
BT8-112,ImperialDramonParadinMode_BT8_112,1706,,,
BT8-112_P1,ImperialDramonParadinMode_BT8_112,1707,,,
BT8-112_P2,ImperialDramonParadinMode_BT8_112,1708,,,
BT8-112_P4,ImperialDramonParadinMode_BT8_112,1709,,,
