カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1NqqTQl2d7A5vWj68vR2MM8EimtgsHtxa
BT10-054,Ramormon_BT10_054,2095,,,
BT10-054_P1,Ramormon_BT10_054,2096,,,
BT10-055,,2097,,,
BT10-056,Lotosmon_BT10_056,2098,,,
BT10-057,Bloomlordmon_BT10_057,2099,,,
BT10-057_P1,Bloomlordmon_BT10_057,2100,,,
BT10-058,Monitormon_BT10_058,2101,,,
BT10-059,Spadamon_BT10_059,2102,,,
BT10-060,Sparrowmon_BT10_060,2103,,,
BT10-060_P1,Sparrowmon_BT10_060,2104,,,
BT10-061,SkullknightmonBigAxeMode_BT10_061,2105,,,
BT10-062,,2106,,,
BT10-063,Highvisionmonitormon_BT10_063,2107,,,
BT10-064,,2108,,,
BT10-065,,2109,,,
BT10-066,Darkknightmon_BT10_066,2110,,,
BT10-067,JustimonCriticalArm_BT10_067,2111,,,
BT10-068,GankuumonXAntibody_BT10_068,2112,,,
BT10-068_P1,GankuumonXAntibody_BT10_068,2113,,,
BT10-069,DarkknightmonXAntibody_BT10_069,2114,,,
BT10-069_P1,DarkknightmonXAntibody_BT10_069,2115,,,
BT10-070,Blustmon_BT10_070,2116,,,
BT10-071,Gajimon_BT10_071,2117,,,
BT10-072,Soundbirdmon_BT10_072,2118,,,
BT10-073,Chuchumon_BT10_073,2119,,,
BT10-074,Kuatorumon_BT10_074,2120,,,
BT10-075,Damemon_BT10_075,2121,,,
BT10-076,Torupumon_BT10_076,2122,,,
BT10-077,Madleomon_BT10_077,2123,,,
BT10-078,Gurusgammamon_BT10_078,2124,,,
BT10-079,,2125,,,
BT10-080,Skullbulkimon_BT10_080,2126,,,
BT10-081,Baalmon_BT10_081,2127,,,
BT10-082,Belzebmon_BT10_082,2128,,,
BT10-082_P1,Belzebmon_BT10_082,2129,,,
BT10-083,Minelvamon_BT10_083,2130,,,
BT10-083_P1,Minelvamon_BT10_083,2131,,,
BT10-084,Tactimon_BT10_084,2132,,,
BT10-085,SistermonCiel_BT10_085,2133,,,
BT10-085_P1,SistermonCiel_BT10_085,2134,,,
BT10-086,OmegamonXAntibody_BT10_086,2135,,,
BT10-086_P1,OmegamonXAntibody_BT10_086,2136,,,
BT10-087,KudouTaiki_BT10_087,2137,,,
BT10-087_P1,KudouTaiki_BT10_087,2138,,,
BT10-088,AonumaKiriha_BT10_088,2139,,,
BT10-088_P1,AonumaKiriha_BT10_088,2140,,,
BT10-089,HinomotoAkari_BT10_089,2141,,,
BT10-089_P1,HinomotoAkari_BT10_089,2142,,,
BT10-090,TsurugiZenjirou_BT10_090,2143,,,
BT10-090_P1,TsurugiZenjirou_BT10_090,2144,,,
BT10-091,TsukiyonoRuri_BT10_091,2145,,,
BT10-092,AmanoNene_BT10_092,2146,,,
BT10-092_P1,AmanoNene_BT10_092,2147,,,
BT10-093,AmanoYuu_BT10_093,2148,,,
BT10-093_P1,AmanoYuu_BT10_093,2149,,,
BT10-094,BreaClaw_BT10_094,2150,,,
BT10-095,FlyingHero_BT10_095,2151,,,
BT10-096,BurningStarCrusher_BT10_096,2152,,,
BT10-097,BlazingMemoryBoost_BT10_097,2153,,,
BT10-098,PlasmaDekkeredLauncher_BT10_098,2154,,,
BT10-099,HealingTherapy_BT10_099,2155,,,
BT10-100,ImpulseMemoryBoost_BT10_100,2156,,,
BT10-101,RonhiAdistact_BT10_101,2157,,,
BT10-102,PyonDump_BT10_102,2158,,,
BT10-103,GranDeruSol_BT10_103,2159,,,
BT10-104,UndeadKing_BT10_104,2160,,,
BT10-105,DefencePlugInC_BT10_105,2161,,,
BT10-106,JusticeKick_BT10_106,2162,,,
BT10-107,BunbunkKen_BT10_107,2163,,,
BT10-108,DeathTheCanon_BT10_108,2164,,,
BT10-109,EnhancePlugInO_BT10_109,2165,,,
BT10-110,SeikenMeppa_BT10_110,2166,,,
BT10-111,ShoutmonKingVer_BT10_111,2167,,,
BT10-111_P1,ShoutmonKingVer_BT10_111,2168,,,
BT10-112,JiesmonGX_BT10_112,2169,,,
BT10-112_P1,JiesmonGX_BT10_112,2170,,,
