カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1JsuQ2fpw3gAi1D8W6qwqw6ZFxlR5Z9vd,,
BT16-040,Wormmon_BT16_040,3353,,,,,,
BT16-041,Stingmon_BT16_041,3354,,,,,,
BT16-042,BladeKuwagamon_BT16_042,3355,,,,,,
BT16-043,Runnermon_BT16_043,3356,,,,,,
BT16-044,Pistmon_BT16_044,3357,,,,,,
BT16-045,MetallifeKuwagamon_BT16_045,3358,,,,,,
BT16-046,GranKuwagamonAce_BT16_046,3359,,,,,,
BT16-046_P1,GranKuwagamonAce_BT16_046,3360,,,,,,
BT16-047,Achillesmon_BT16_047,3361,,,,,,
BT16-048,TyrantKabuterimon_BT16_048,3362,,,,,,
BT16-048_P1,TyrantKabuterimon_BT16_048,3363,,,,,,
BT16-049,Armadillomon_BT16_049,3364,,,,,,
BT16-050,Commandramon_BT16_050,3365,,,,,,
BT16-051,Dorumon_BT16_051,3366,,,,,,
BT16-051_P1,Dorumon_BT16_051,3367,,,,,,
BT16-052,HagurumonXAntibody_BT16_052,3368,,,,,,
BT16-053,Ankylomon_BT16_053,3369,,,,,,
BT16-054,Sealsdramon_BT16_054,3370,,,,,,
BT16-055,Namakemon_BT16_055,3371,,,,,,
BT16-056,Publimon_BT16_056,3372,,,,,,
BT16-057,Mekanorimon_BT16_057,3373,,,,,,
BT16-058,Dorugamon_BT16_058,3374,,,,,,
BT16-059,Shootmon_BT16_059,3375,,,,,,
BT16-060,Tankdramon_BT16_060,3376,,,,,,
BT16-061,DoruGreymon_BT16_061,3377,,,,,,
BT16-062,Zanmetsumon_BT16_062,3378,,,,,,
BT16-063,Shakkoumon_BT16_063,3379,,,,,,
BT16-063_P1,Shakkoumon_BT16_063,3380,,,,,,
BT16-064,Dorugoramon_BT16_064,3381,,,,,,
BT16-065,Darkdramon_BT16_065,3382,,,,,,
BT16-066,SyakomonXAntibody_BT16_066,3383,,,,,,
BT16-067,LopmonXAntibody_BT16_067,3384,,,,,,
BT16-068,Dobermon_BT16_068,3385,,,,,,
BT16-069,GesomonXAntibody_BT16_069,3386,,,,,,
BT16-070,Sethmon_BT16_070,3387,,,,,,
BT16-071,MadLeomon_BT16_071,3388,,,,,,
BT16-072,Arukenimon_BT16_072,3389,,,,,,
BT16-073,Mummymon_BT16_073,3390,,,,,,
BT16-074,Climbmon_BT16_074,3391,,,,,,
BT16-075,Cerberusmon_BT16_075,3392,,,,,,
BT16-076,Soloogarmon_BT16_076,3393,,,,,,
BT16-077,Dinobeemon_BT16_077,3394,,,,,,
BT16-077_P1,Dinobeemon_BT16_077,3395,,,,,,
BT16-078,Pharaohmon_BT16_078,3396,,,,,,
BT16-079,CherubimonXAntibody_BT16_079,3397,,,,,,
BT16-080,Shroudmon_BT16_080,3398,,,,,,
BT16-080_P1,Shroudmon_BT16_080,3399,,,,,,
BT16-081,MaloMyotismon_BT16_081,3400,,,,,,
BT16-081_P1,MaloMyotismon_BT16_081,3401,,,,,,
BT16-082,Ukkomon_BT16_082,3402,,,,,,
BT16-082_P1,Ukkomon_BT16_082,3403,,,,,,
BT16-083,BigUkkomon_BT16_083,3404,,,,,,
BT16-083_P1,BigUkkomon_BT16_083,3405,,,,,,
BT16-084,YoleiInoueAndKariKamiya_BT16_084,3406,,,,,,
BT16-084_P1,YoleiInoueAndKariKamiya_BT16_084,3407,,,,,,
BT16-085,DavisMotomiyaAndKenIchijoji_BT16_085,3408,,,,,,
BT16-085_P1,DavisMotomiyaAndKenIchijoji_BT16_085,3409,,,,,,
BT16-086,HackerJudge_BT16_086,3410,,,,,,
BT16-087,KosukeKisakata_BT16_087,3411,,,,,,
BT16-087_P1,KosukeKisakata_BT16_087,3412,,,,,,
BT16-088,CodyHidaAndTKTakaishi_BT16_088,3413,,,,,,
BT16-088_P1,CodyHidaAndTKTakaishi_BT16_088,3414,,,,,,
BT16-089,Arukenimon&Mummymon_BT16_089,3415,,,,,,
BT16-090,LuiOhwada_BT16_090,3416,,,,,,
BT16-090_P1,LuiOhwada_BT16_090,3417,,,,,,
BT16-091,BeastlyStormDanceOfAffection_BT16_091,3418,,,,,,
BT16-092,InvincibleDragonInsectFusion_BT16_092,3419,,,,,,
BT16-093,TheSparkleOfDestiny_BT16_093,3420,,,,,,
BT16-094,DragonBreath_BT16_094,3421,,,,,,
BT16-095,ShineOfBee_BT16_095,3422,,,,,,
BT16-096,MetropolitanPoliceDepartmentCommunitySafetyBureauCyberCrimeDivisionInvestigationUnitElevenDigimonCrimeResponeTeam_BT16_096,3423,,,,,,
BT16-097,AncientAngelOfSteel_BT16_097,3424,,,,,,
BT16-098,DoruDjinn_BT16_098,3425,,,,,,
BT16-099,DemonWoldOfTheCastleOfNineWolves_BT16_099,3426,,,,,,
BT16-100,ThunderflameCrusher_BT16_100,3427,,,,,,
BT16-101,RapidmonXAntibody_BT16_101,3428,,,,,,
BT16-101_P1,RapidmonXAntibody_BT16_101,3429,,,,,,
BT16-102,MagnamonXAntibody_BT16_102,3430,,,,,,
BT16-102_P1,MagnamonXAntibody_BT16_102,3431,,,,,,
BT16-102_P2,MagnamonXAntibody_BT16_102,3432,,,,,,
BT8-112_P1,ImperialDramonParadinMode_BT8_112,3433,,,,,,
