カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1-dWxcLv6gju4qODDp1baCXyL7lRdw-D4,,,
BT11-046,Agumon_BT11_046,2319,,,,,,
BT11-047,Parumon_BT11_047,2320,,,,,,
BT11-048,,2321,,,,,,
BT11-049,Vegimon_BT11_049,2322,,,,,,
BT11-050,Igamon_BT11_050,2323,,,,,,
BT11-051,,2324,,,,,,
BT11-052,Tiranomon_BT11_052,2325,,,,,,
BT11-053,,2326,,,,,,
BT11-054,Panjamon_BT11_054,2327,,,,,,
BT11-055,Metaltiranomon_BT11_055,2328,,,,,,
BT11-056,Jijimon_BT11_056,2329,,,,,,
BT11-056_P1,Jijimon_BT11_056,2330,,,,,,
BT11-057,Taitamon_BT11_057,2331,,,,,,
BT11-058,HerakurukabuterimonXAntibody_BT11_058,2332,,,,,,
BT11-059,Lasttiranomon_BT11_059,2333,,,,,,
BT11-060,Koemon_BT11_060,2334,,,,,,
BT11-061,Bemmon_BT11_061,2335,50,,,,,
BT11-062,AgumonXAntibody_BT11_062,2336,,,,,,
BT11-063,Geremon_BT11_063,2337,,,,,,
BT11-064,GreymonXAntibody_BT11_064,2338,,,,,,
BT11-065,Snatchmon_BT11_065,2339,,,,,,
BT11-066,Insekimon_BT4_070,2340,,,,,,
BT11-067,Gigadramon_BT11_067,2341,,,,,,
BT11-068,Mamemon_BT11_068,2342,,,,,,
BT11-069,MetalgreymonXAntibody_BT11_069,2343,,,,,,
BT11-070,Deathtromon_BT11_070,2344,,,,,,
BT11-071,Musoknightmon_BT11_071,2345,,,,,,
BT11-072,Mugendramon_BT11_072,2346,,,,,,
BT11-073,JustimonAccelArm_BT11_073,2347,,,,,,
BT11-074,BlackwargreymonXAntibody_BT11_074,2348,,,,,,
BT11-074_P1,BlackwargreymonXAntibody_BT11_074,2349,,,,,,
BT11-075,,2350,,,,,,
BT11-076,Ignetemon_BT11_076,2351,,,,,,
BT11-077,Chikurimon_BT11_077,2352,,,,,,
BT11-078,Soulmon_BT11_078,2353,,,,,,
BT11-079,Darklizamon_BT11_079,2354,,,,,,
BT11-080,Devimon_BT11_080,2355,,,,,,
BT11-081,MadleomonArmedMode_BT11_081,2356,,,,,,
BT11-082,Tsuwamon_BT11_082,2357,,,,,,
BT11-083,Ladydevimon_BT11_083,2358,,,,,,
BT11-083_P1,Ladydevimon_BT11_083,2359,,,,,,
BT11-084,Bluemeramon_BT11_084,2360,,,,,,
BT11-085,Waruseadramon_BT11_085,2361,,,,,,
BT11-086,Melvamon_BT11_086,2362,,,,,,
BT11-086_P1,Melvamon_BT11_086,2363,,,,,,
BT11-087,Lilithmon_BT11_087,2364,,,,,,
BT11-088,Bagramon_BT11_088,2365,,,,,,
BT11-088_P1,Bagramon_BT11_088,2366,,,,,,
BT11-089,RindouAkiho_BT11_089,2367,,,,,,
BT11-089_P1,RindouAkiho_BT11_089,2368,,,,,,
BT11-090,NicolaiPetrof_BT11_090,2369,,,,,,
BT11-090_P1,NicolaiPetrof_BT11_090,2370,,,,,,
BT11-091,Taiga_BT11_091,2371,,,,,,
BT11-091_P1,Taiga_BT11_091,2372,,,,,,
BT11-092,Analogman_BT11_092,2373,,,,,,
BT11-093,KugaYuuya_BT11_093,2374,,,,,,
BT11-093_P1,KugaYuuya_BT11_093,2375,,,,,,
BT11-094,MikaguraMirei_BT11_094,2376,,,,,,
BT11-094_P1,MikaguraMirei_BT11_094,2377,,,,,,
BT11-095,TaikiAndKirihaAndNene_BT11_095,2378,,,,,,
BT11-096,Magmabomb_BT11_096,2379,,,,,,
BT11-097,CrimsonFlare_BT11_097,2380,,,,,,
BT11-098,Maleshtorom_BT11_098,2381,,,,,,
BT11-099,IceStatue_BT11_099,2382,,,,,,
BT11-100,MegaroSpark_BT11_100,2383,,,,,,
BT11-101,HolySunshine_BT11_101,2384,,,,,,
BT11-102,HighMegaBluster_BT11_102,2385,,,,,,
BT11-103,PoisonPowder_BT11_103,2386,,,,,,
BT11-104,BusterDive_BT11_104,2387,,,,,,
BT11-105,Fusionize_BT11_105,2388,,,,,,
BT11-106,EngachoKick_BT11_106,2389,,,,,,
BT11-107,HadesForce_BT11_107,2390,,,,,,
BT11-108,DGDimensions_BT11_108,2391,,,,,,
BT11-109,AstralSnatcher_BT11_109,2392,,,,,,
BT11-110,EvilScall_BT11_110,2393,,,,,,
BT11-111,Ragnamon_BT11_111,2394,,,,,,
BT11-111_P1,Ragnamon_BT11_111,2395,,,,,,
BT11-112,ShinomiyaRina_BT11_112,2396,,,,,,
BT11-112_P1,ShinomiyaRina_BT11_112,2397,,,,,,
