カード画像ファイル名,効果クラス名,カードIndex,最大枚数,,空欄,1GeL2T-BVntHWYKKy1uaT3SMd1BIB_RJy,,
BT13-087,Dunasmon_BT13_087,2746,,,,,,
BT13-087_P1,Dunasmon_BT13_087,2747,,,,,,
BT13-088,BerfemonSleepMode_BT13_088,2748,,,,,,
BT13-089,Ravemon_BT13_089,2749,,,,,,
BT13-090,Lordknightmon_BT13_090,2750,,,,,,
BT13-090_P1,Lordknightmon_BT13_090,2751,,,,,,
BT13-091,BerfemonRageMode_BT13_091,2752,,,,,,
BT13-091_P1,BerfemonRageMode_BT13_091,2753,,,,,,
BT13-092,RavemonBurstMode_BT13_092,2754,,,,,,
BT13-092_P1,RavemonBurstMode_BT13_092,2755,,,,,,
BT13-092_P2,RavemonBurstMode_BT13_092,2756,,,,,,
BT13-093,Omekamon_BT13_093,2757,,,,,,
BT13-094,DaimonChika_BT13_094,2758,,,,,,
BT13-095,DaimonMasaru_BT13_095,2759,,,,,,
BT13-095_P1,DaimonMasaru_BT13_095,2760,,,,,,
BT13-096,YushimaHiroshi_BT13_096,2761,,,,,,
BT13-097,TomaHNorshtain_BT13_097,2762,,,,,,
BT13-097_P1,TomaHNorshtain_BT13_097,2763,,,,,,
BT13-098,SatsumaRentaro_BT13_098,2764,,,,,,
BT13-098_P1,SatsumaRentaro_BT13_098,2765,,,,,,
BT13-099,DaimonSuguru_BT13_099,2766,,,,,,
BT13-100,FujiedaYoshino_BT13_100,2767,,,,,,
BT13-100_P1,FujiedaYoshino_BT13_100,2768,,,,,,
BT13-101,KurosakiMikiAndShirakawaMegumi_BT13_101,2769,,,,,,
BT13-101_P1,KurosakiMikiAndShirakawaMegumi_BT13_101,2770,,,,,,
BT13-102,Ikuto_BT13_102,2771,,,,,,
BT13-102_P1,Ikuto_BT13_102,2772,,,,,,
BT13-103,KurataAkihiro_BT13_103,2773,,,,,,
BT13-104,FinalShiningBurst_BT13_104,2774,,,,,,
BT13-105,FullmoonMeteorImpact_BT13_105,2775,,,,,,
BT13-106,OdinsBreath_BT13_106,2776,,,,,,
BT13-107,VolcaneClatsuer_BT13_107,2777,,,,,,
BT13-108,EndWartz_BT13_108,2778,,,,,,
BT13-109,GiftOfDarkness_BT13_109,2779,,,,,,
BT13-110,JudgementOfRoyalKnight_BT13_110,2780,,,,,,
BT13-111,Dukemon_BT13_111,2781,,,,,,
BT13-111_P1,Dukemon_BT13_111,2782,,,,,,
BT13-112,Omegamon_BT13_112,2783,,,,,,
BT13-112_P1,Omegamon_BT13_112,2784,,,,,,
