カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1rxDKVCB9LCcB2dPNsKmge2DOvY6HHH6q
BT6-019,Gabumon_BT6_019,1133,,,
BT6-019_P1,Gabumon_BT6_019,1134,,,
BT6-020,Gizamon_BT6_020,1135,,,
BT6-021,Teriamon_BT3_046,1136,,,
BT6-021_P1,Teriamon_BT3_046,1137,,,
BT6-022,Strabimon_BT6_022,1138,,,
BT6-023,,1139,,,
BT6-024,Mojamon_BT6_024,1140,,,
BT6-025,Panjamon_BT6_025,1141,,,
BT6-026,Dagomon_BT6_026,1142,,,
BT6-027,Majiramon_BT6_027,1143,,,
BT6-028,Pukumon_BT6_028,1144,,,
BT6-029,Chinronmon_BT6_029,1145,,,
BT6-030,GabumonBondOfFriendship_BT6_030,1146,,,
BT6-030_P1,GabumonBondOfFriendship_BT6_030,1147,,,
BT6-031,Tinkermon_BT6_031,1148,,,
BT6-032,Bakumon_BT6_032,1149,,,
BT6-033,Pulsemon_BT6_033,1150,,,
BT6-033_P1,Pulsemon_BT6_033,1151,,,
BT6-034,Wizzarmon_BT6_034,1152,,,
BT6-034_P1,Wizzarmon_BT6_034,1153,,,
BT6-034_P2,Wizzarmon_BT6_034,1154,,,
BT6-035,Balkimon_BT6_035,1155,,,
BT6-036,Mimikkumon_BT6_036,1156,,,
BT6-037,Bulkmon_BT6_037,1157,,,
BT6-038,,1158,,,
BT6-038_P1,,1159,,,
BT6-038_P2,,1160,,,
BT6-038_P3,,1161,,,
BT6-039,Manmon_BT6_039,1162,,,
BT6-040,Mistymon_BT6_040,1163,,,
BT6-041,Manticoremon_BT6_041,1164,,,
BT6-042,Babamon_BT6_042,1165,,,
BT6-043,Skullmunmon_BT6_043,1166,,,
BT6-044,Dunasmon_BT6_044,1167,,,
BT6-044_P1,Dunasmon_BT6_044,1168,,,
BT6-045,Bakomon_BT6_045,1169,,,
BT6-046,,1170,,,
BT6-047,Morfomon_BT6_047,1171,,,
BT6-047_P1,Morfomon_BT6_047,1172,,,
BT6-048,,1173,,,
BT6-048_P1,,1174,,,
BT6-048_P2,,1175,,,
BT6-048_P3,,1176,,,
BT6-049,Arbormon_BT6_049,1177,,,
BT6-050,Petaldramon_BT6_050,1178,,,
BT6-051,Tropiamon_BT6_051,1179,,,
BT6-052,Entmon_BT6_052,1180,,,
BT6-053,Eldradimon_BT6_053,1181,,,
BT6-054,EncientTroiamon_BT6_054,1182,,,
BT6-055,Gomamon_BT1_030,1183,,,
BT6-056,Chikurimon_BT6_056,1184,,,
BT6-056_P1,Chikurimon_BT6_056,1185,,,
BT6-057,Toyagumon_BT6_057,1186,,,
BT6-058,Greymon_BT3_011,1187,,,
BT6-059,Mahhamon_BT6_059,1188,,,
BT6-060,Revolmon_BT6_060,1189,,,
BT6-061,Gigadramon_BT6_061,1190,,,
BT6-062,Volcamon_BT6_062,1191,,,
BT6-063,,1192,,,
BT6-064,Mamemon_BT6_064,1193,,,
BT6-064_P1,Mamemon_BT6_064,1194,,,
BT6-064_P2,Mamemon_BT6_064,1195,,,
BT6-065,Gundramon_BT6_065,1196,,,
BT6-065_P1,Gundramon_BT6_065,1197,,,
BT6-066,Pilevolcamon_BT6_066,1198,,,
BT6-067,Gankuumon_BT6_067,1199,,,
BT6-067_P1,Gankuumon_BT6_067,1200,,,
BT6-068,Inpumon_BT6_068,1201,,,
BT6-068_P1,Inpumon_BT6_068,1202,,,
BT6-069,Gobrimon_BT6_069,1203,,,
BT6-070,Elekimon_BT6_070,1204,,,
BT6-071,Kinkakumon_BT6_071,1205,,,
BT6-072,Orgamon_BT6_072,1206,,,
BT6-073,Ginkakumon_BT6_073,1207,,,
BT6-074,,1208,,,
BT6-075,Ginkakumonpromote_BT6_075,1209,,,
BT6-076,,1210,,,
BT6-077,Ribeerimon_BT6_077,1211,,,
BT6-077_P1,Ribeerimon_BT6_077,1212,,,
BT6-078,Skullgreymon_BT6_078,1213,,,
BT6-078_P1,Skullgreymon_BT6_078,1214,,,
BT6-079,Mulmuksmon_BT6_079,1215,,,
BT6-080,Onismon_BT6_080,1216,,,
BT6-081,Taitamon_BT6_081,1217,,,
BT6-081_P1,Taitamon_BT6_081,1218,,,
BT6-082,SistermonBran_BT6_082,1219,,,
BT6-082_P1,SistermonBran_BT6_082,1220,,,
BT6-083,Eosmon_BT6_083,1221,,,
BT6-083_P1,Eosmon_BT6_083,1222,,,
BT6-084,SistermonNowaru_BT6_084,1223,,,
BT6-084_P1,SistermonNowaru_BT6_084,1224,,,
BT6-085,Eosmon_BT6_085,1225,50,,
BT6-085_P1,Eosmon_BT6_085,1226,50,,
BT6-086,Eosmon_BT6_086,1227,,,
BT6-086_P1,Eosmon_BT6_086,1228,,,
BT6-087,YagamiTaichi_BT6_087,1229,,,
BT6-088,IshidaYamato_BT6_088,1230,,,
BT6-089,TakaishiTakeruAndYagamiHikari_BT6_089,1231,,,
BT6-090,IzumiKoushirouAndKidoJo_BT6_090,1232,,,
BT6-091,TakenouchiSoraAndTachikawaMimi_BT6_091,1233,,,
BT6-092,MenoaBerucchi_BT6_092,1234,,,
BT6-093,TekkenSeibai_BT6_093,1235,,,
BT6-093_P1,TekkenSeibai_BT6_093,1236,,,
BT6-094,Redreamer_BT6_094,1237,,,
BT6-095,HappyBulletShowering_BT6_095,1238,,,
BT6-096,ForbiddenTrident_BT6_096,1239,,,
BT6-097,HowlingMemoryBoost_BT6_097,1240,,,
BT6-098,Redorstar_BT6_098,1241,,,
BT6-099,AcidInjection_BT6_099,1242,,,
BT6-100,ReinforceMemoryBoost_BT6_100,1243,,,
BT6-101,BreathOfWyvern_BT6_101,1244,,,
BT6-102,TropicalVenom_BT6_102,1245,,,
BT6-103,BlustedDisaster_BT6_103,1246,,,
BT6-104,ParaboricJunk_BT6_104,1247,,,
BT6-105,KevaltShbermer_BT6_105,1248,,,
BT6-106,TekkenSeisai_BT6_106,1249,,,
BT6-107,GraveMemoryBoost_BT6_107,1250,,,
BT6-108,KoouMeigun_BT6_108,1251,,,
BT6-109,FlyBullet_BT6_109,1252,,,
BT6-109_P1,FlyBullet_BT6_109,1253,,,
BT6-110,CuttingEdge_BT6_110,1254,,,
BT6-111,Alphamon_BT6_111,1255,,,
BT6-111_P1,Alphamon_BT6_111,1256,,,
BT6-112,Belstermon_BT6_112,1257,,,
BT6-112_P1,Belstermon_BT6_112,1258,,,
