カード画像ファイル名,効果クラス名,カードIndex,最大枚数,空欄,1z4LqHCPL6aiIx5K-dc9p7dVNiEGLq4dG
BT2-106,MugenCanon_BT2_106,553,,,
BT2-107,DarknessClas_BT2_107,554,,,
BT2-108,NightRaid_BT2_108,555,,,
BT2-109,HeatViper_BT2_109,556,,,
BT2-110,TrumpSword_BT2_110,557,,,
BT2-111,Belzebmon_BT2_111,558,,,
BT2-111_P1,Belzebmon_BT2_111,559,,,
BT2-111_P2,Belzebmon_BT2_111,560,,,
BT2-112,Blackwargreymon_BT2_112,561,,,
BT2-112_P1,Blackwargreymon_BT2_112,562,,,
